dasi_cod_cuen	dasi_cod_cact	ccos_cod_ccos	dasi_dml_dasi	dasi_cml_dasi	dasi_det_asi
2.1.06.01.010		2.01.004	0	416960.91	REGISTRO ASIENTO INICIAL 2026
2.1.06.01.010		4.01.016	0	100000	REGISTRO ASIENTO INICIAL 2026
2.1.07.02.001	MSCO001		0	105072.28	REGISTRO ASIENTO INICIAL 2026
2.1.07.02.001	CORM001		0	1647273.06	REGISTRO ASIENTO INICIAL 2026
2.1.07.02.001	PODE001		0	213551.21	REGISTRO ASIENTO INICIAL 2026
2.1.07.02.001	COMI001		0	16473.37	REGISTRO ASIENTO INICIAL 2026
2.1.07.02.001	SUPE001		0	1360583.51	REGISTRO ASIENTO INICIAL 2026
2.1.07.02.001	PDMG001		0	3484407.66	REGISTRO ASIENTO INICIAL 2026
2.1.07.02.001	PLO-001		0	186620.04	REGISTRO ASIENTO INICIAL 2026
2.1.06.01.022			0	14603137.09	REGISTRO ASIENTO INICIAL 2026
2.1.06.01.010		4.01.017	0	350000	REGISTRO ASIENTO INICIAL 2026
2.1.06.01.010		4.01.018	0	7980	REGISTRO ASIENTO INICIAL 2026
2.1.06.01.010		4.01.019	0	28953.77	REGISTRO ASIENTO INICIAL 2026
2.1.07.02.001	REY-001		0	2578.52	REGISTRO ASIENTO INICIAL 2026
2.1.07.02.001	OCM-001		0	15393472.5	REGISTRO ASIENTO INICIAL 2026
2.1.06.01.010		3.01.001	0	14.08	REGISTRO ASIENTO INICIAL 2026
2.1.06.01.010		3.01.002	0	176.05	REGISTRO ASIENTO INICIAL 2026
2.1.06.01.010		3.01.003	0	51780.01	REGISTRO ASIENTO INICIAL 2026
2.1.06.01.010		3.01.004	0	59.43	REGISTRO ASIENTO INICIAL 2026
2.1.07.02.001	LAQ-001		0	684965.35	REGISTRO ASIENTO INICIAL 2026
2.1.07.02.001	MARC001		0	675.16	REGISTRO ASIENTO INICIAL 2026
2.1.07.02.001	MER-001		0	368.24	REGISTRO ASIENTO INICIAL 2026
2.1.07.02.001	EVA-001		0	135423.44	REGISTRO ASIENTO INICIAL 2026
2.1.06.01.010		4.01.001	0	30000	REGISTRO ASIENTO INICIAL 2026
2.1.04.01.007			0	10964447.15	REGISTRO ASIENTO INICIAL 2026
2.1.07.02.001	INBU001		0	390058.24	REGISTRO ASIENTO INICIAL 2026
2.1.06.01.010		4.01.002	0	2000	REGISTRO ASIENTO INICIAL 2026
2.1.07.02.001	HAGR001		0	493452.79	REGISTRO ASIENTO INICIAL 2026
2.1.07.02.001	MAC-001		0	11290.15	REGISTRO ASIENTO INICIAL 2026
2.1.07.02.001	GAM-001		0	1063805.43	REGISTRO ASIENTO INICIAL 2026
2.1.06.01.010		4.01.003	0	35970	REGISTRO ASIENTO INICIAL 2026
2.1.06.01.010		4.01.004	0	300000.02	REGISTRO ASIENTO INICIAL 2026
2.1.06.01.010		4.01.005	0	140000	REGISTRO ASIENTO INICIAL 2026
2.1.06.01.010		4.01.006	0	8000	REGISTRO ASIENTO INICIAL 2026
2.1.06.01.010		4.01.007	0	0	REGISTRO ASIENTO INICIAL 2026
2.1.06.01.010		4.01.008	0	15000	REGISTRO ASIENTO INICIAL 2026
2.1.06.01.010		4.01.009	0	0	REGISTRO ASIENTO INICIAL 2026
2.1.06.01.010		4.01.010	0	0	REGISTRO ASIENTO INICIAL 2026
2.1.06.01.010		4.01.011	0	50000	REGISTRO ASIENTO INICIAL 2026
2.1.06.01.010		4.01.012	0	0	REGISTRO ASIENTO INICIAL 2026
2.1.06.01.010		4.01.013	0	10000	REGISTRO ASIENTO INICIAL 2026
2.1.06.01.010		4.01.014	0	10000	REGISTRO ASIENTO INICIAL 2026
2.1.07.02.001	ASI-001		0	128.68	REGISTRO ASIENTO INICIAL 2026
2.1.06.01.010		4.01.015	0	680000	REGISTRO ASIENTO INICIAL 2026
2.1.06.01.051			0	48369562.37	REGISTRO ASIENTO INICIAL 2026
