dasi_cod_cuen	dasi_cod_cact	ccos_cod_ccos	dasi_dml_dasi	dasi_cml_dasi	dasi_det_asi
1.2.06.02.009			30000		REG. ASIENTO INICIAL ENE 2025
1.2.06.08.001			10805197.06		REG. ASIENTO INICIAL ENE 2025
1.2.10.01.010			50		REG. ASIENTO INICIAL ENE 2025
2.1.04.01.002				9999.6	REG. ASIENTO INICIAL ENE 2025
2.1.04.01.003				58279.44	REG. ASIENTO INICIAL ENE 2025
2.1.04.01.004				21255.27	REG. ASIENTO INICIAL ENE 2025
2.1.03.01.001				11533.2	REG. ASIENTO INICIAL ENE 2025
2.1.03.01.002				14828.44	REG. ASIENTO INICIAL ENE 2025
2.1.03.01.003				10053.81	REG. ASIENTO INICIAL ENE 2025
2.1.03.01.004				1403.27	REG. ASIENTO INICIAL ENE 2025
2.1.03.01.005				2315.26	REG. ASIENTO INICIAL ENE 2025
2.1.03.01.007				115984.62	REG. ASIENTO INICIAL ENE 2025
2.1.04.01.006				1160552.19	REG. ASIENTO INICIAL ENE 2025
2.1.02.01.006				3011237.51	REG. ASIENTO INICIAL ENE 2025
2.1.02.01.006				389011.99	REG. ASIENTO INICIAL ENE 2025
2.1.02.01.003				111821.82	REG. ASIENTO INICIAL ENE 2025
2.1.02.01.002				30761.3	REG. ASIENTO INICIAL ENE 2025
2.1.02.01.004				475095.46	REG. ASIENTO INICIAL ENE 2025
2.1.02.01.005				580276.09	REG. ASIENTO INICIAL ENE 2025
2.1.02.01.007				121755.61	REG. ASIENTO INICIAL ENE 2025
2.1.04.01.001				506564.92	REG. ASIENTO INICIAL ENE 2025
2.1.04.01.005				116422.25	REG. ASIENTO INICIAL ENE 2025
2.1.01.03.001				1907304.91	REG. ASIENTO INICIAL ENE 2025
2.1.01.03.001				3288132.52	REG. ASIENTO INICIAL ENE 2025
2.1.01.03.002				9036.64	REG. ASIENTO INICIAL ENE 2025
2.1.06.01.002				142728.4	REG. ASIENTO INICIAL ENE 2025
2.1.06.01.001				21538.02	REG. ASIENTO INICIAL ENE 2025
2.1.06.01.003				10451.23	REG. ASIENTO INICIAL ENE 2025
2.1.06.01.004				25946.46	REG. ASIENTO INICIAL ENE 2025
2.1.06.01.010				4076.8	REG. ASIENTO INICIAL ENE 2025
2.1.01.06.001				90881.46	REG. ASIENTO INICIAL ENE 2025
2.1.01.08.001				24533.04	REG. ASIENTO INICIAL ENE 2025
2.1.06.01.009				230.42	REG. ASIENTO INICIAL ENE 2025
2.1.09.01.001				143133.38	REG. ASIENTO INICIAL ENE 2025
2.1.09.01.001				2957729.34	REG. ASIENTO INICIAL ENE 2025
2.1.05.01.001				1300000	REG. ASIENTO INICIAL ENE 2025
2.2.02.01.001				2014723.68	REG. ASIENTO INICIAL ENE 2025
2.2.04.01.001				644222.11	REG. ASIENTO INICIAL ENE 2025
2.2.07.01.001				248013.63	REG. ASIENTO INICIAL ENE 2025
2.2.07.01.002				118331.54	REG. ASIENTO INICIAL ENE 2025
2.2.05.01.001				53154.87	REG. ASIENTO INICIAL ENE 2025
2.2.08.01.010				168253.19	REG. ASIENTO INICIAL ENE 2025
2.2.08.01.001				287591.07	REG. ASIENTO INICIAL ENE 2025
3.1.01.01.001				4	REG. ASIENTO INICIAL ENE 2025
3.1.01.01.002				6499996	REG. ASIENTO INICIAL ENE 2025
3.1.04.01.001				572537.66	REG. ASIENTO INICIAL ENE 2025
3.1.04.01.002				9413033.18	REG. ASIENTO INICIAL ENE 2025
3.1.05.01.002				1384101.22	REG. ASIENTO INICIAL ENE 2025
3.1.05.01.008				16803.18	REG. ASIENTO INICIAL ENE 2025
3.1.06.01.001				6853456.07	REG. ASIENTO INICIAL ENE 2025
